,Unnamed: 0,origin,destination,distance,duration,origin_postcode,destination_postcode
246,246,Abbott House Changing Lives,East Durham Community Initiatives,32219,1913,NE46NG,SR77AU
247,247,Abbott House Changing Lives,East Durham Partnership,39926,2018,NE46NG,SR84TQ
248,248,Abbott House Changing Lives,Eastlea Community,30766,1744,NE46NG,SR78DX
249,249,Abbott House Changing Lives,Elliott House /Westbridge,995,193,NE46NG,NE46US
250,250,Abbott House Changing Lives,Emmaus North East,16514,1644,NE46NG,NE334RT
251,251,Abbott House Changing Lives,Eslington House Changing Lives,3478,361,NE46NG,NE82TQ
252,252,Abbott House Changing Lives,Excelsior Academy,4643,599,NE46NG,NE156AF
253,253,Abbott House Changing Lives,Family Gateway,12294,1135,NE46NG,NE280PP
254,254,Abbott House Changing Lives,Felling Community Association,6783,875,NE46NG,NE100NF
255,255,Abbott House Changing Lives,Forage Community Project,24568,1631,NE46NG,SR47RE
256,256,Abbott House Changing Lives,Francis House Changing Lives,763,140,NE46NG,NE46AN
257,257,Abbott House Changing Lives,Gateshead Young Peoples Mental Health Service,3384,495,NE46NG,NE81QD
258,258,Abbott House Changing Lives,Great Lumley Community Centre,20745,1223,NE46NG,DH34JD
259,259,Abbott House Changing Lives,Great North Road Changing Lives,22314,1305,NE46NG,DH23NL
260,260,Abbott House Changing Lives,Green Gates Primary,84491,3719,NE46NG,TS104HS
261,261,Abbott House Changing Lives,Harrowgate Hill Primary,54855,2533,NE46NG,DL30HZ
262,262,Abbott House Changing Lives,Haswell Mencap Lisa Dixon Centre,35843,1996,NE46NG,DH62DA
263,263,Abbott House Changing Lives,Health Works Newcastle,6902,720,NE46NG,NE158RZ
264,264,Abbott House Changing Lives,Hub of Wishes,50532,2324,NE46NG,DL57DZ
265,265,Abbott House Changing Lives,Investing in People and Culture,3443,463,NE46NG,NE81SQ
266,266,Abbott House Changing Lives,"Jet (Wicker Chair) North,  Westerhope",6787,788,NE46NG,NE55HH
267,267,Abbott House Changing Lives,Junction 7,50532,2324,NE46NG,DL57DZ
268,268,Abbott House Changing Lives,Junior Neighbourhood Watch,50532,2324,NE46NG,DL57DZ
269,269,Abbott House Changing Lives,Kibblesworth Village Millenium Centre,10645,864,NE46NG,NE110XN
270,270,Abbott House Changing Lives,Kings Cafe,55897,2606,NE46NG,DL30QT
271,271,Abbott House Changing Lives,Labyrinth Holistic Cafe,61104,3086,NE46NG,TS181DY
272,272,Abbott House Changing Lives,Little Sisters Of The Poor - Newcastle,1593,231,NE46NG,NE47QA
273,273,Abbott House Changing Lives,Lobley Hill Primary,5592,522,NE46NG,NE110AT
274,274,Abbott House Changing Lives,Looked After Through Care Darlington Borough Council,57625,2948,NE46NG,DL15PW
275,275,Abbott House Changing Lives,Mickley First School,19802,1392,NE46NG,NE437BJ
276,276,Abbott House Changing Lives,Miss Tina's Coffee Shop,22986,1524,NE46NG,SR52JR
277,277,Abbott House Changing Lives,Mount Pleasant Primary School,57840,2629,NE46NG,DL39HE
278,278,Abbott House Changing Lives,Moving On Durham,24988,1480,NE46NG,DH15HL
279,279,Abbott House Changing Lives,Murton Salvation Army,34270,1825,NE46NG,SR79NL
280,280,Abbott House Changing Lives,New Walk Property Management Middlesbrough,65762,3136,NE46NG,TS13LF
281,281,Abbott House Changing Lives,New Walk Property Management Stockton,60712,3030,NE46NG,TS181HE
282,282,Abbott House Changing Lives,Newport Primary,65079,3072,NE46NG,TS15NQ
283,283,Abbott House Changing Lives,PACT House,15384,1265,NE46NG,DH90JE
284,284,Abbott House Changing Lives,Park End Primary,71662,3339,NE46NG,TS30AA
285,285,Abbott House Changing Lives,Pelton Community Centre,14170,1109,NE46NG,DH21DE
286,286,Abbott House Changing Lives,People's Pantry,14654,1209,NE46NG,NE392BE
287,287,Abbott House Changing Lives,Pickle Palace,12705,1146,NE46NG,NE404AT
288,288,Abbott House Changing Lives,Pottery Bank Centre,6412,931,NE46NG,NE63SW
289,289,Abbott House Changing Lives,Praxis,1749,266,NE46NG,NE48ED
290,290,Abbott House Changing Lives,Prudhoe Castle First School,18562,1379,NE46NG,NE426PH
291,291,Abbott House Changing Lives,Reach Out Recovery,56852,3020,NE46NG,TS247AD
292,292,Abbott House Changing Lives,Ron Eager House Changing Lives,2460,529,NE46NG,NE12AF
293,293,Abbott House Changing Lives,Roseberry Primary,58505,2807,NE46NG,TS232HJ
294,294,Abbott House Changing Lives,Rosebrook,56922,2684,NE46NG,TS199LF
295,295,Abbott House Changing Lives,Sanctuary Supported Housing,60105,2897,NE46NG,TS182HR
296,296,Abbott House Changing Lives,Sanctuary Supported Living Hartlepool,54214,2734,NE46NG,TS268DB
297,297,Abbott House Changing Lives,Selby Cottage Childrens Centre,18020,1143,NE46NG,DH22EY
298,298,Abbott House Changing Lives,Soul Food Spaces (Peace Of Mind),3566,528,NE46NG,NE84QP
299,299,Abbott House Changing Lives,Sprinwell Community Hub,12862,1009,NE46NG,NE97AL
300,300,Abbott House Changing Lives,St Davids Community Project,26003,1585,NE46NG,SR33HG
301,301,Abbott House Changing Lives,St Gabriels Catholic Voluntary Academy,72945,3461,NE46NG,TS79LF
302,302,Abbott House Changing Lives,St. John the Baptist Primary School,57928,2746,NE46NG,TS190FB
303,303,Abbott House Changing Lives,St.Peters Court,25023,1523,NE46NG,DH76FB
304,304,Abbott House Changing Lives,Sunderland Area Parent Support,25816,1516,NE46NG,SR32PE
305,305,Abbott House Changing Lives,Sunderland North Family Zone,26061,1911,NE46NG,SR28AB
306,306,Abbott House Changing Lives,Sunderland Ymca,26130,1876,NE46NG,SR12QF
307,307,Abbott House Changing Lives,Sunshine Day Nursery at Seascape Children's Centre,40024,2166,NE46NG,SR85NJ
308,308,Abbott House Changing Lives,The Albert,40266,2057,NE46NG,DH62LT
309,309,Abbott House Changing Lives,The Ashley Foundation,25824,1825,NE46NG,SR12QB
310,310,Abbott House Changing Lives,The Laurels Childcare Ltd,29975,1607,NE46NG,DH12EY
311,311,Abbott House Changing Lives,The Oasis Cafe,1367,218,NE46NG,NE47RW
312,312,Abbott House Changing Lives,The Opportunity Cafe,6942,731,NE46NG,NE158NY
313,313,Abbott House Changing Lives,The Rifty Youth Project,55148,2799,NE46NG,TS254JY
314,314,Abbott House Changing Lives,Tyneside Vineyard Extraordinary Project,4537,751,NE46NG,NE62FF
315,315,Abbott House Changing Lives,Umbrella Community Centre,22829,1875,NE46NG,DH85SD
316,316,Abbott House Changing Lives,Vinnie's Cafe,3041,594,NE46NG,NE12TQ
