No,CFM Name,Postal code,Demand*,cluster
62,Mount Pleasant Primary School,DL3 9HE,95.77,
63,Moving On Durham,DH1 5HL,68.342,
64,Murton Salvation Army,SR7 9NL,86.32230769,
65,New Walk Property Management Middlesbrough,TS1 3LF,93.65,
66,New Walk Property Management Stockton,TS18 1HD,121.4169231,
67,Newport Primary,TS1 5NQ,93.49,
68,PACT House,DH9 0JE,474.4766667,
69,Park End Primary,TS3 0AA,123.7438462,
70,Pelton Community Centre,DH2 1DE,77.25,
71,People's Pantry,NE39 2BE,107.7116667,
72,Pickle Palace,NE40 4AT,99.37555556,
73,Pottery Bank Centre,NE6 3SW,97.10444444,
74,Praxis,NE4 8ED,108.0325,
75,Prudhoe Castle First School,NE42 6PH,53.515,
76,Reach Out Recovery,TS24 7AD,85.58384615,
77,Ron Eager House Changing Lives,NE1 2AF,82.72666667,
78,Roseberry Primary,TS23 2HJ,81.89,
79,Rosebrook,TS19 9LF,71.56636364,
80,Sanctuary Supported Housing,TS18 2HR,72.94923077,
81,Sanctuary Supported Living Hartlepool,TS26 8DB,76.56,
82,Selby Cottage Childrens Centre,DH2 2EY,84.14818182,
83,Soul Food Spaces (Peace Of Mind),NE8 4QP,117.8371429,
84,Sprinwell Community Hub,NE9 7AL,102.2845455,
85,St Davids Community Project,SR3 3HG,67.82272727,
86,St Gabriels Catholic Voluntary Academy,TS7 9LF,76.199,
87,St. John the Baptist Primary School,TS19 0FB,68.964,
88,St.Peters Court,DH7 6FB,109.055,
89,Sunderland Area Parent Support,SR3 2PE,52.06545455,
90,Sunderland North Family Zone,SR2 8AB,97.957,
91,Sunderland Ymca,SR1 2QF,96.84818182,
92,Sunshine Day Nursery at Seascape Children's Centre,SR8 5NJ,81.75615385,
93,The Albert,DH6 2LT,100.6030769,
94,The Ashley Foundation,SR1 2QB,94.25727273,
95,The Laurels Childcare Ltd,DH1 2EY,86.4675,
96,The Oasis Cafe,NE4 7RW,97.31583333,
97,The Opportunity Cafe,NE15 8NY,83.44909091,
98,The Rifty Youth Project,TS25 4JY,85.10923077,
99,Tyneside Vineyard Extraordinary Project,NE6 2FF,38.45384615,
100,Umbrella Community Centre,DH8 5SD,113.4795,
101,Vinnie's Cafe,NE1 2TQ,135.1341667,
102,Virginia House Changing Lives,NE4 7NQ,103.39,
103,Wallsend People Centre,NE28 6RN,100.21,
104,Washingwell Primary School,NE16 4RB,51.91625,
105,West View Primary School,TS24 9BP,70.238,
106,West View Project,TS24 9JQ,51.06416667,
107,Wharton Trust,TS24 8NS,85.07923077,
108,Whitehead Street - Changing Lives,NE33 5ND,102.3645455,
109,Saplings Kindergarden,SR8 1NJ,80,
110,Blyth Changing Lives,NE24 2EH,80,
